0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,label
-543.21674,88.12137,40.268303,41.442028,32.83323,30.818468,25.167383,23.202827,19.961285,18.819145,15.851504,14.98694,13.226913,12.429988,10.53603,9.892516,8.019269,7.9268894,6.6833525,6.74652,5.3871636,5.0844803,4.0367093,3.9657428,3.0722055,3.0468585,2.813786,3.5390298,2.3847075,2.8276734,2.5796528,2.7993917,1.739412,1.9448935,2.1574874,1.7054844,1.5601802,1.9627765,1.3822441,2.0239394,1.9664682,1.5910833,1.32265,1.055751,0.4843217,NORMAL
-519.6757,77.59726,54.735214,42.183823,37.854244,34.66677,29.953156,24.880291,21.583445,19.841955,17.977158,15.171701,12.599238,11.391251,10.936084,10.123924,8.8008,7.3290634,6.265281,5.702466,4.9742446,4.0483913,3.5023198,3.115954,2.6024241,2.344597,2.4359202,2.4558032,2.2979844,2.1735692,2.1493938,2.1512814,1.8673984,1.5096891,1.5770531,1.8199222,1.709087,1.4860436,1.5293514,1.5506948,1.2523848,0.8818656,0.74913096,0.92330265,0.9908303,NORMAL
-533.67883,87.10362,39.246628,38.598194,29.661152,28.327501,20.93554,19.335209,13.751947,14.058866,11.091979,10.483245,8.358975,9.096236,6.2019978,6.231593,4.5949254,5.5366745,4.4993405,5.4074397,3.7323976,4.736209,3.6646779,4.6925273,3.848109,5.0041814,3.8555753,4.4877467,3.690499,4.6892056,2.7851112,3.8468256,3.3195589,3.8644333,2.3738399,2.9609892,2.6797874,3.4255502,2.144599,3.353713,2.4498975,2.8866706,2.2415142,3.0206294,2.1499197,NORMAL
-528.78485,83.82847,44.857777,37.71011,33.938423,29.10954,24.50886,20.248379,17.117617,15.475012,13.54565,10.618091,8.432593,8.654452,8.496363,7.0641346,6.192595,5.7895527,5.097771,5.0826664,4.4682655,4.009234,4.377399,4.1910915,3.586548,3.425189,3.7066534,4.40187,4.191363,3.7606187,3.357967,3.0749414,2.917822,2.632391,2.853588,2.8479164,2.6570923,2.7982526,2.598407,2.44923,2.5668316,2.7095249,2.8524597,3.0823941,2.6243892,NORMAL
-534.6186,89.57569,43.894344,41.953163,35.851685,32.79534,26.446053,21.681725,19.012493,18.098394,15.758391,13.242721,11.361238,10.8052025,9.136232,8.960757,8.0325165,7.733782,7.4481635,6.2752576,4.6527505,4.5237293,4.303648,4.4377074,3.27529,3.3534212,3.4275742,3.1226869,3.184044,3.256004,2.413816,2.8146663,2.5016108,2.18054,1.8853791,2.2169254,2.2276587,1.8636315,1.6338567,2.0342655,2.0762067,2.0416145,0.99642897,0.9505703,0.64172596,NORMAL
-465.48383,99.756615,27.091692,20.730034,26.087719,34.82327,29.66218,18.54282,11.78537,15.346216,16.578817,13.28659,11.703889,11.954141,10.067408,8.076749,7.9572067,7.8321834,7.21472,6.7626023,5.710619,5.094537,5.383852,5.530382,5.1552987,4.1907835,3.2130098,3.5661025,3.8293142,3.804888,2.7008216,3.0515888,2.6872704,2.021937,2.8255343,2.6725388,2.3354027,2.469711,2.2442937,2.3044462,2.6426702,2.89372,2.4546163,1.985876,1.7967812,NORMAL
-413.96768,207.48657,13.788904,-32.91008,13.126155,25.951319,4.94351,-6.980712,1.1863326,17.300037,15.81327,-1.5878706,-2.50172,12.372324,14.152921,4.016593,0.44259351,3.7192304,6.0437226,4.725008,2.7234905,4.973498,7.6769404,4.891672,2.1553788,3.8140306,4.1156178,1.9827139,2.162447,3.4782789,2.5866954,1.3880148,2.3449535,3.681304,2.8105512,1.5568247,2.2640166,2.292034,0.6615239,1.1272585,2.6722422,1.5571033,0.48441523,1.8723809,2.4208794,NORMAL
-445.5494,180.92679,32.582413,-20.191439,10.8282585,29.636328,11.17561,-6.0232286,3.0864966,20.484821,16.088007,-2.4458075,-3.2285378,11.811603,15.612096,6.2909565,0.7394375,2.6231215,5.4795113,5.6441345,4.357322,5.608713,8.3547945,6.837309,2.64074,1.9637142,3.6834402,3.934475,3.4812436,2.8831158,1.2289106,0.6119074,2.465813,3.4400063,1.6613742,0.8352681,2.4384193,2.468012,0.4292404,0.5936138,2.4076703,2.262338,1.6007655,2.2675138,1.9889423,NORMAL
-463.7136,95.77344,33.35622,28.66035,28.705202,35.055527,28.677197,19.593853,13.503105,15.782067,16.381943,13.9137745,10.596796,10.194531,9.495192,7.875468,5.6319656,6.2432346,6.872143,7.267929,6.1652966,4.043805,3.190803,4.639541,4.612696,3.7382865,2.5509048,2.8118756,3.0827239,2.8088918,1.9311616,2.5697858,2.7074726,2.9466481,2.469964,2.6108782,3.3722703,3.086791,2.1945753,1.7874357,1.7626457,2.534471,2.3671453,1.837273,1.5372475,NORMAL
-460.15506,185.13979,34.628906,-23.65794,5.500113,27.211908,10.694273,-6.9249215,1.1433185,18.733334,16.906052,-0.44084063,-4.173484,9.160782,15.727855,8.315903,1.73608,3.52917,7.109773,6.3242188,3.9583483,5.4003053,8.119814,6.4471817,3.220055,3.3321373,4.1668925,3.38929,3.3409846,3.3061836,1.070957,-0.21572068,1.9417562,3.7152002,2.4632046,1.435729,2.2929335,2.1222284,0.56551915,0.96026635,2.8113816,2.6916199,1.3084537,1.0880169,1.1659156,NORMAL
-553.1767,119.15277,57.09806,24.972698,20.33455,24.918846,25.716816,20.90185,17.769552,18.066534,13.834007,6.9378166,5.70586,9.339803,11.353334,10.195453,7.172775,4.163842,3.2449343,4.7467766,6.065628,6.5722704,6.4928823,5.9019623,4.6297946,3.1856706,2.7058988,3.237931,4.2221622,5.631214,5.531079,3.4846375,1.3125408,0.733335,1.5487967,2.9344525,3.6943588,3.4390457,2.5858662,1.6756128,1.0579015,1.0668714,1.2792279,1.7235798,1.9029142,NORMAL
-443.66876,112.74338,59.19791,6.6550255,21.21853,19.895264,12.027741,11.028495,8.599726,14.18504,17.930134,12.955501,10.069274,16.09799,6.3455553,9.587447,-0.80082184,7.868827,2.755578,6.9276605,4.3410535,8.440179,2.0690272,9.167453,2.3071797,3.423413,-1.7285287,5.5427256,1.1042548,7.376999,1.8750954,3.4201612,0.4404797,0.27862266,8.931519,0.777422,2.0354998,1.6031724,4.326335,3.1470032,-0.5692034,0.4841241,2.370386,-0.07435859,3.517058,NORMAL
-438.15924,113.38842,61.692646,9.12256,22.578093,20.151245,9.771,12.018365,9.818115,10.889127,18.49838,14.031671,7.8695264,13.223798,8.746315,14.515836,-2.0494168,6.6045346,2.4821453,6.0471935,5.6708217,8.313002,1.5039419,7.2553034,2.1603653,6.6902437,0.08441798,4.5517373,0.6957631,8.29551,2.7135806,2.6053789,1.2959746,-0.7549462,5.8716955,-0.12173238,2.8889368,3.011575,2.6946547,2.9520047,1.0171574,-0.25197095,4.0397625,1.4236461,3.2262495,NORMAL
-556.5773,110.0332,51.852337,28.86887,27.094793,27.63357,26.593946,22.56213,19.603369,19.898767,15.30773,7.501837,5.1856847,9.060572,12.181577,10.778851,6.8742714,3.8894484,3.5232134,5.3825045,7.0476713,7.3632727,6.3850965,4.921085,3.3183265,2.2727158,2.1418447,3.4399095,4.9110875,5.3471646,4.7243757,2.8834336,0.59373057,-0.23372017,0.9294076,3.226314,4.705956,4.203532,2.425733,1.2474539,0.6757941,0.7656053,1.3564204,1.9049401,1.880426,NORMAL
-433.6256,124.16656,58.799976,1.4209541,21.80767,23.395758,12.941354,10.494151,8.441196,12.300158,17.741161,13.445198,5.3872194,12.900224,8.068214,12.762686,-0.7434902,4.0828943,0.9802653,6.891956,5.462138,9.6728325,-0.010359544,7.2846503,1.4948804,5.0674706,-0.49218026,2.7771974,1.1808678,9.41447,1.3165698,2.7344615,1.5307446,1.1223015,6.9405465,0.7223391,2.639429,1.4733814,1.6076319,3.8862276,1.01703,0.14100784,2.3883696,1.089253,2.9516118,NORMAL
